# كتالوج MySQL جاهز للصق بين <<<CATALOG_START و >>>CATALOG_END في برومبت n8n
# مُولَّد من موديلات Django في مشروع Ktra — راجع اسم القاعدة: إن كان في .env مختلفاً عن smartktra_smart-ktra استبدل العمود الأول (find/replace).
# الفاصل: TAB بين الحقول — صف واحد = عمود واحد. يمكنك لصق الملف كاملاً بعد حذف كل الأسطر التي تبدأ بـ # (التعليقات فقط).
# جدول products: لا يوجد عمود CreatedAt ولا UpdatedAt في الكتالوج — لا تستخدمهما في ORDER/WHERE؛ للترتيب استخدم ProductID أو أعمدةً أخرى مذكورة لـ products فقط.

db_name	table_name	column_name	column_type	column_comment
smartktra_smart-ktra	journal_headers	Description	longtext	وصف
smartktra_smart-ktra	journal_headers	IsPosted	tinyint(1)	مرحّل أم مسودة
smartktra_smart-ktra	journal_lines	JLineID	int	PK سطر قيد
smartktra_smart-ktra	journal_lines	TenantID	int	FK
smartktra_smart-ktra	journal_lines	JournalID	int	FK → journal_headers
smartktra_smart-ktra	journal_lines	AccountID	int	FK → chartofaccounts
smartktra_smart-ktra	journal_lines	Debit	decimal(18,2)	مدين
smartktra_smart-ktra	journal_lines	Credit	decimal(18,2)	دائن
smartktra_smart-ktra	journal_lines	PartnerID	int	FK → partners اختياري
smartktra_smart-ktra	journal_lines	CostCenterID	int	FK → cost_centers
smartktra_smart-ktra	journal_lines	LineDescription	varchar(500)	وصف السطر
smartktra_smart-ktra	journal_lines	ProjectID	int	مشروع اختياري
smartktra_smart-ktra	cost_centers	CostCenterID	int	PK
smartktra_smart-ktra	cost_centers	TenantID	int	FK
smartktra_smart-ktra	cost_centers	Name	varchar(150)	اسم مركز التكلفة
smartktra_smart-ktra	cost_centers	Code	varchar(50)	كود
smartktra_smart-ktra	cost_centers	Description	longtext	وصف
smartktra_smart-ktra	cheques	ChequeID	int	PK شيك
smartktra_smart-ktra	cheques	TenantID	int	FK
smartktra_smart-ktra	cheques	ChequeNumber	varchar(50)	رقم الشيك
smartktra_smart-ktra	cheques	BankName	varchar(100)	بنك
smartktra_smart-ktra	cheques	Amount	decimal(18,2)	مبلغ
smartktra_smart-ktra	cheques	CurrencyID	int	FK
smartktra_smart-ktra	cheques	DueDate	date	استحقاق
smartktra_smart-ktra	cheques	IssueDate	date	إصدار
smartktra_smart-ktra	cheques	PayeeName	varchar(150)	اسم المستفيد
smartktra_smart-ktra	cheques	PartnerID	int	FK
smartktra_smart-ktra	cheques	Status	varchar(50)	حالة الشيك
smartktra_smart-ktra	cheques	Direction	varchar(20)	Incoming/Outgoing
smartktra_smart-ktra	cheques	CreatedBy_UserID	int	FK مستخدم
smartktra_smart-ktra	cheques	CreatedAt	datetime	إنشاء
smartktra_smart-ktra	cheques	Notes	longtext	ملاحظات
smartktra_smart-ktra	accounting_audit_logs	LogID	int	PK سجل تدقيق
smartktra_smart-ktra	accounting_audit_logs	TenantID	int	FK
smartktra_smart-ktra	accounting_audit_logs	UserID	int	FK مستخدم
smartktra_smart-ktra	accounting_audit_logs	Action	varchar(20)	CREATE/UPDATE/DELETE/POST
smartktra_smart-ktra	accounting_audit_logs	ModelName	varchar(100)	اسم الموديل
smartktra_smart-ktra	accounting_audit_logs	ObjectID	int	معرف السجل
smartktra_smart-ktra	accounting_audit_logs	ChangeDetails	longtext	تفاصيل التغيير
smartktra_smart-ktra	accounting_audit_logs	Timestamp	datetime	وقت
smartktra_smart-ktra	cash_box_ledger_accounts	CashBoxLedgerID	int	PK ربط صندوق خارجي بـ GL
smartktra_smart-ktra	cash_box_ledger_accounts	TenantID	int	FK
smartktra_smart-ktra	cash_box_ledger_accounts	ExternalID	varchar(128)	معرف الصندوق الخارجي
smartktra_smart-ktra	cash_box_ledger_accounts	Name	varchar(200)	اسم عرض
smartktra_smart-ktra	cash_box_ledger_accounts	CurrencyCode	varchar(3)	عملة
smartktra_smart-ktra	cash_box_ledger_accounts	AccountID	int	FK one-to-one → chartofaccounts
smartktra_smart-ktra	fiscal_periods	PeriodID	int	PK فترة مالية (managed=False قد لا يُحدَّث من Django)
smartktra_smart-ktra	fiscal_periods	TenantID	int	FK
smartktra_smart-ktra	fiscal_periods	PeriodName	varchar(100)	اسم الفترة
smartktra_smart-ktra	fiscal_periods	StartDate	date	بداية
smartktra_smart-ktra	fiscal_periods	EndDate	date	نهاية
smartktra_smart-ktra	fiscal_periods	Status	varchar(20)	Open/…
smartktra_smart-ktra	logistics_deals	DealID	int	PK صفقة شراء
smartktra_smart-ktra	logistics_deals	TenantID	int	FK
smartktra_smart-ktra	logistics_deals	RefNumber	varchar(50)	رقم صفقة مثل D-0001
smartktra_smart-ktra	logistics_deals	PartnerID	int	FK → partners مورد الصفقة
smartktra_smart-ktra	logistics_deals	OrderDate	date	تاريخ الطلب
smartktra_smart-ktra	logistics_deals	TotalAmount	decimal(18,2)	إجمالي الصفقة
smartktra_smart-ktra	logistics_deals	CurrencyID	int	FK
smartktra_smart-ktra	logistics_deals	Status	varchar(20)	Open/Shipped/…
smartktra_smart-ktra	logistics_deals	Notes	longtext	ملاحظات
smartktra_smart-ktra	logistics_deals	CreatedAt	datetime	إنشاء
smartktra_smart-ktra	logistics_deals	CreatedBy_UserID	int	FK مستخدم
smartktra_smart-ktra	logistics_deals	pi_number	varchar(50)	PI
smartktra_smart-ktra	logistics_deals	description	varchar(255)	وصف/عنوان
smartktra_smart-ktra	logistics_deals	shipping_method	varchar(50)	طريقة شحن
smartktra_smart-ktra	logistics_deals	incoterms	varchar(10)	Incoterms
smartktra_smart-ktra	logistics_deals	payment_method	varchar(50)	أسلوب دفع
smartktra_smart-ktra	logistics_deals	production_days	int	أيام تصنيع
smartktra_smart-ktra	logistics_deals	delivery_days	int	أيام تسليم
smartktra_smart-ktra	logistics_deals	total_cbm	decimal(10,3)	حجم
smartktra_smart-ktra	logistics_deals	total_weight	decimal(10,3)	وزن
smartktra_smart-ktra	logistics_deals	certificates	varchar(255)	شهادات
smartktra_smart-ktra	logistics_deals	shipping_cost_estimate	decimal(18,2)	تقدير شحن
smartktra_smart-ktra	logistics_deals	discount_amount	decimal(18,2)	خصم
smartktra_smart-ktra	logistics_deals	fees_percentage	decimal(5,2)	رسوم %
smartktra_smart-ktra	logistics_deals	is_shipping_included	tinyint(1)	شحن شامل
smartktra_smart-ktra	logistics_deals	alibaba_link	varchar(500)	رابط أليبابا
smartktra_smart-ktra	logistics_deals	price_offer_id	varchar(50)	عرض سعر
smartktra_smart-ktra	logistics_deals	original_offer_number	varchar(50)	رقم عرض
smartktra_smart-ktra	logistics_deals	factory_name	varchar(255)	مصنع
smartktra_smart-ktra	logistics_deals	supplier_invoice_number	varchar(100)	رقم فاتورة مورد
smartktra_smart-ktra	logistics_deals	installment_plan_enabled	tinyint(1)	خطة أقساط
smartktra_smart-ktra	logistics_deals	current_installment_number	int	قسط حالي
smartktra_smart-ktra	logistics_deals	remaining_amount	decimal(18,2)	متبقي
smartktra_smart-ktra	logistics_deals	subtotal	decimal(18,2)	مجموع بنود
smartktra_smart-ktra	logistics_deals	tax_rate	decimal(5,2)	نسبة ضريبة
smartktra_smart-ktra	logistics_deals	tax_amount	decimal(18,2)	مبلغ ضريبة
smartktra_smart-ktra	logistics_deals	tax_type	varchar(20)	percentage أو amount
smartktra_smart-ktra	logistics_deals	warranty_duration	int	ضمان
smartktra_smart-ktra	logistics_deals	total_weight_kg	decimal(10,3)	وزن كغ
smartktra_smart-ktra	logistics_deals	shipment_notes	longtext	ملاحظات شحن
smartktra_smart-ktra	logistics_deals	first_payment_date	date	أول دفعة
smartktra_smart-ktra	logistics_deals	payment_date	date	دفعة
smartktra_smart-ktra	logistics_deals	started_production_at	date	بداية إنتاج
smartktra_smart-ktra	logistics_deals	PaymentStatus	varchar(20)	Unpaid/Partially Paid/Fully Paid
smartktra_smart-ktra	logistics_deals	OrderStatus	varchar(20)	مراحل تنفيذ الطلب
smartktra_smart-ktra	logistics_deals	CurrencyRate	decimal(18,6)	سعر صرف
smartktra_smart-ktra	logistics_deals	IsPosted	tinyint(1)	ترحيل محاسبي للصفقة (نادر)
smartktra_smart-ktra	logistics_deals	JournalID	int	FK قيد مرتبط بالصفقة إن وُجد
smartktra_smart-ktra	logistics_deals	shipping_workflow_status	varchar(32)	مسار شحن sw_*
smartktra_smart-ktra	logistics_deals	is_deleted	tinyint(1)	حذف منطقي SoftDeleteMixin
smartktra_smart-ktra	logistics_deals	deleted_at	datetime	وقت الحذف المنطقي
smartktra_smart-ktra	logistics_deal_items	DealItemID	int	PK بند صفقة
smartktra_smart-ktra	logistics_deal_items	DealID	int	FK → logistics_deals
smartktra_smart-ktra	logistics_deal_items	ProductID	int	FK → products
smartktra_smart-ktra	logistics_deal_items	Quantity	decimal(18,4)	كمية
smartktra_smart-ktra	logistics_deal_items	UnitPrice	decimal(18,4)	سعر وحدة
smartktra_smart-ktra	logistics_deal_items	Notes	varchar(255)	ملاحظة بند
smartktra_smart-ktra	logistics_deal_items	is_deleted	tinyint(1)	حذف منطقي
smartktra_smart-ktra	logistics_deal_items	deleted_at	datetime	حذف منطقي
smartktra_smart-ktra	logistics_payments	PaymentID	int	PK دفعة
smartktra_smart-ktra	logistics_payments	DealID	int	FK صفقة (nullable إن دفعة شحن)
smartktra_smart-ktra	logistics_payments	LinkedShipmentID	int	FK شحنة لدفعات وكيل
smartktra_smart-ktra	logistics_payments	PaymentNumber	int	رقم القسط
smartktra_smart-ktra	logistics_payments	Title	varchar(100)	عنوان/نوع عرض
smartktra_smart-ktra	logistics_payments	DueDate	date	استحقاق
smartktra_smart-ktra	logistics_payments	Percentage	decimal(5,2)	نسبة
smartktra_smart-ktra	logistics_payments	Amount	decimal(18,2)	مبلغ الدفعة
smartktra_smart-ktra	logistics_payments	Amount_Local	decimal(18,2)	محلي
smartktra_smart-ktra	logistics_payments	Status	varchar(20)	Pending/Paid/Confirmed/…
smartktra_smart-ktra	logistics_payments	ClaimDoc	varchar(255)	مطالبة
smartktra_smart-ktra	logistics_payments	InvoiceDoc	varchar(255)	فاتورة
smartktra_smart-ktra	logistics_payments	TransferDate	date	تاريخ تحويل
smartktra_smart-ktra	logistics_payments	ConfirmationDate	date	تأكيد مورد
smartktra_smart-ktra	logistics_payments	Notes	longtext	ملاحظات
smartktra_smart-ktra	logistics_payments	CreatedAt	datetime	إنشاء
smartktra_smart-ktra	logistics_payments	usd_to_ils	decimal(18,6)	سعر صرف للعرض
smartktra_smart-ktra	logistics_payments	transfer_cost	decimal(18,2)	كلفة حوالة
smartktra_smart-ktra	logistics_payments	bank_swift_image	varchar(500)	رابط/مسار سليب
smartktra_smart-ktra	logistics_payments	supplier_confirmation_image	varchar(500)	تأكيد مورد صورة
smartktra_smart-ktra	logistics_payments	supplier_notes	longtext	ملاحظات مورد
smartktra_smart-ktra	logistics_payments	confirmed_by_supplier	tinyint(1)	تأكيد مورد
smartktra_smart-ktra	logistics_payments	IsPosted	tinyint(1)	مرحّل محاسبياً
smartktra_smart-ktra	logistics_payments	JournalID	int	FK قيد الدفعة
smartktra_smart-ktra	logistics_payments	BankAccountID	int	FK حساب بنك/صندوق
smartktra_smart-ktra	logistics_payments	cash_box_external_id	varchar(128)	معرف صندوق خارجي
smartktra_smart-ktra	logistics_payments	is_deleted	tinyint(1)	حذف منطقي
smartktra_smart-ktra	logistics_payments	deleted_at	datetime	حذف منطقي
smartktra_smart-ktra	logistics_shipments	ShipmentID	int	PK شحنة
smartktra_smart-ktra	logistics_shipments	TenantID	int	FK
smartktra_smart-ktra	logistics_shipments	ShipmentNumber	varchar(50)	رقم شحنة
smartktra_smart-ktra	logistics_shipments	ShippingAgentID	int	FK → partners وكيل شحن
smartktra_smart-ktra	logistics_shipments	BillOfLading	varchar(100)	BL
smartktra_smart-ktra	logistics_shipments	ContainerNumber	varchar(100)	حاوية
smartktra_smart-ktra	logistics_shipments	DepartureDate	date	مغادرة
smartktra_smart-ktra	logistics_shipments	ArrivalDate	date	وصول
smartktra_smart-ktra	logistics_shipments	Status	varchar(20)	حالة شحنة خشنة
smartktra_smart-ktra	logistics_shipments	Notes	longtext	ملاحظات
smartktra_smart-ktra	logistics_shipments	agent_shipment_number	varchar(100)	رقم عند الوكيل
smartktra_smart-ktra	logistics_shipments	israeli_side_name	varchar(255)	الجانب الإسرائيلي
smartktra_smart-ktra	logistics_shipments	shipment_name	varchar(255)	اسم الشحنة
smartktra_smart-ktra	logistics_shipments	pricing_method	varchar(50)	total أو unit
smartktra_smart-ktra	logistics_shipments	unit_type	varchar(50)	cbm/weight/container
smartktra_smart-ktra	logistics_shipments	price_per_unit	decimal(18,2)	سعر للوحدة
smartktra_smart-ktra	logistics_shipments	total_shipping_cost_usd	decimal(18,2)	تكلفة شحن USD
smartktra_smart-ktra	logistics_shipments	total_volume	decimal(10,3)	حجم
smartktra_smart-ktra	logistics_shipments	total_weight_kg	decimal(10,3)	وزن كغ
smartktra_smart-ktra	logistics_shipments	shipment_route_status	varchar(64)	مسار تفصيلي
smartktra_smart-ktra	logistics_shipments	remaining_amount	decimal(18,2)	متبقي
smartktra_smart-ktra	logistics_shipments	installment_plan_enabled	tinyint(1)	أقساط شحن
smartktra_smart-ktra	logistics_shipments	shipping_type	varchar(20)	sea/air
smartktra_smart-ktra	logistics_shipments	ship_name	varchar(255)	سفينة
smartktra_smart-ktra	logistics_shipments	international_shipping_company	varchar(255)	شركة نقل
smartktra_smart-ktra	logistics_shipments	bill_of_lading_file	varchar(500)	ملف BL
smartktra_smart-ktra	logistics_shipments	flight_number	varchar(100)	رحلة
smartktra_smart-ktra	logistics_shipments	airway_bill_number	varchar(100)	AWB
smartktra_smart-ktra	logistics_shipments	airway_bill_file	varchar(500)	ملف AWB
smartktra_smart-ktra	logistics_shipments	from_term	varchar(100)	من
smartktra_smart-ktra	logistics_shipments	to_term	varchar(100)	إلى
smartktra_smart-ktra	logistics_shipments	imo_number	varchar(100)	IMO
smartktra_smart-ktra	logistics_shipments	mmsi_number	varchar(100)	MMSI
smartktra_smart-ktra	logistics_shipments	tracking_link	varchar(500)	تتبع
smartktra_smart-ktra	logistics_shipment_deals	LinkID	int	PK ربط شحنة-صفقة
smartktra_smart-ktra	logistics_shipment_deals	ShipmentID	int	FK
smartktra_smart-ktra	logistics_shipment_deals	DealID	int	FK
smartktra_smart-ktra	logistics_clearance	ClearanceID	int	PK تخليص
smartktra_smart-ktra	logistics_clearance	TenantID	int	FK
smartktra_smart-ktra	logistics_clearance	ShipmentID	int	FK شحنة one-to-one
smartktra_smart-ktra	logistics_clearance	CustomsBrokerID	int	FK مخلص
smartktra_smart-ktra	logistics_clearance	DeclarationNumber	varchar(100)	بيان
smartktra_smart-ktra	logistics_clearance	ClearanceDate	date	تاريخ
smartktra_smart-ktra	logistics_clearance	Status	varchar(20)	حالة
smartktra_smart-ktra	logistics_clearance	Notes	longtext	ملاحظات
smartktra_smart-ktra	logistics_clearance	cost_lines	json	بنود تكلفة JSON
smartktra_smart-ktra	logistics_clearance_payments	ClearancePaymentID	int	PK دفعة تخليص
smartktra_smart-ktra	logistics_clearance_payments	TenantID	int	FK
smartktra_smart-ktra	logistics_clearance_payments	ClearanceID	int	FK
smartktra_smart-ktra	logistics_clearance_payments	CustomsBrokerID	int	FK
smartktra_smart-ktra	logistics_clearance_payments	Amount	decimal(18,2)	مبلغ
smartktra_smart-ktra	logistics_clearance_payments	PaymentDate	date	تاريخ
smartktra_smart-ktra	logistics_clearance_payments	CashBoxExternalID	varchar(128)	صندوق
smartktra_smart-ktra	logistics_clearance_payments	Notes	longtext	ملاحظات
smartktra_smart-ktra	logistics_clearance_payments	IsPosted	tinyint(1)	مرحّل
smartktra_smart-ktra	logistics_clearance_payments	JournalID	int	FK قيد
smartktra_smart-ktra	logistics_clearance_payments	CreatedAt	datetime	إنشاء
smartktra_smart-ktra	logistics_expenses	ExpenseID	int	PK مصروف لوجستي
smartktra_smart-ktra	logistics_expenses	TenantID	int	FK
smartktra_smart-ktra	logistics_expenses	RelatedType	varchar(20)	Deal/Shipment/Clearance
smartktra_smart-ktra	logistics_expenses	RelatedID	int	معرف الصفقة/الشحنة/التخليص
smartktra_smart-ktra	logistics_expenses	ExpenseAccountID	int	FK حساب مصروف
smartktra_smart-ktra	logistics_expenses	PayableAccountID	int	FK حساب دائن
smartktra_smart-ktra	logistics_expenses	Description	varchar(255)	وصف
smartktra_smart-ktra	logistics_expenses	Amount	decimal(18,2)	مبلغ
smartktra_smart-ktra	logistics_expenses	CurrencyID	int	FK
smartktra_smart-ktra	logistics_expenses	InvoiceNumber	varchar(100)	فاتورة
smartktra_smart-ktra	logistics_expenses	InvoiceDate	date	تاريخ فاتورة
smartktra_smart-ktra	logistics_expenses	IsPosted	tinyint(1)	مرحّل
smartktra_smart-ktra	logistics_expenses	JournalID	int	FK قيد
smartktra_smart-ktra	system_attachments	AttachmentID	int	PK مرفق
smartktra_smart-ktra	system_attachments	TenantID	int	FK
smartktra_smart-ktra	system_attachments	RelatedTable	varchar(50)	جدول مرتبط (مثل logistics_deals)
smartktra_smart-ktra	system_attachments	RelatedID	int	معرف السجل
smartktra_smart-ktra	system_attachments	FileType	varchar(50)	نوع ملف
smartktra_smart-ktra	system_attachments	FilePath	varchar(500)	مسار/URL
smartktra_smart-ktra	system_attachments	UploadedAt	datetime	رفع
smartktra_smart-ktra	bridge_firestoremirrordoc	id	bigint	PK مرآة Firestore
smartktra_smart-ktra	bridge_firestoremirrordoc	path	varchar(255)	مسار مستند فريد
smartktra_smart-ktra	bridge_firestoremirrordoc	data	json	محتوى JSON
smartktra_smart-ktra	bridge_firestoremirrordoc	created_at	datetime	إنشاء
smartktra_smart-ktra	bridge_firestoremirrordoc	updated_at	datetime	تحديث
smartktra_smart-ktra	auth_user	id	int	PK مستخدم Django
smartktra_smart-ktra	auth_user	username	varchar(150)	اسم دخول
smartktra_smart-ktra	auth_user	first_name	varchar(150)	اسم
smartktra_smart-ktra	auth_user	last_name	varchar(150)	كنية
smartktra_smart-ktra	auth_user	email	varchar(254)	بريد
smartktra_smart-ktra	auth_user	is_active	tinyint(1)	نشط
smartktra_smart-ktra	auth_user	is_staff	tinyint(1)	موظف
smartktra_smart-ktra	auth_user	is_superuser	tinyint(1)	مدير
smartktra_smart-ktra	auth_user	date_joined	datetime	تاريخ الانضمام
